iter	Passed	Remaining
1250	42329	8425
1251	42359	8390
1252	42392	8356
1253	42429	8323
1254	42463	8289
1255	42495	8255
1256	42524	8220
1257	42555	8186
1258	42583	8151
1259	42616	8117
1260	42644	8082
1261	42674	8047
1262	42708	8014
1263	42736	7979
1264	42770	7945
1265	42801	7911
1266	42835	7877
1267	42863	7842
1268	42896	7808
1269	42931	7775
1270	42959	7740
1271	42990	7705
1272	43015	7670
1273	43044	7635
1274	43072	7601
1275	43100	7566
1276	43131	7532
1277	43166	7498
1278	43196	7463
1279	43223	7429
1280	43251	7394
1281	43294	7362
1282	43329	7328
1283	43359	7294
1284	43386	7259
1285	43417	7224
1286	43448	7190
1287	43472	7155
1288	43499	7120
1289	43525	7085
1290	43553	7050
1291	43585	7016
1292	43616	6982
1293	43644	6948
1294	43674	6913
1295	43700	6878
1296	43730	6844
1297	43758	6809
1298	43790	6775
1299	43826	6742
1300	43855	6708
1301	43879	6672
1302	43911	6639
1303	43941	6604
1304	43971	6570
1305	43998	6535
1306	44029	6501
1307	44062	6467
1308	44086	6432
1309	44116	6398
1310	44150	6364
1311	44184	6331
1312	44214	6297
1313	44245	6263
1314	44283	6230
1315	44326	6197
1316	44358	6163
1317	44388	6129
1318	44423	6096
1319	44459	6062
1320	44491	6028
1321	44518	5994
1322	44549	5960
1323	44584	5926
1324	44609	5891
1325	44641	5857
1326	44674	5824
1327	44705	5790
1328	44736	5756
1329	44770	5722
1330	44803	5688
1331	44840	5655
1332	44880	5622
1333	44912	5588
1334	44943	5554
1335	44988	5522
1336	45020	5488
1337	45056	5455
1338	45084	5420
1339	45107	5385
1340	45137	5351
1341	45169	5318
1342	45191	5282
1343	45218	5248
1344	45250	5214
1345	45276	5180
1346	45328	5148
1347	45359	5114
1348	45387	5080
1349	45412	5045
1350	45444	5012
1351	45476	4978
1352	45503	4943
1353	45531	4909
1354	45562	4875
1355	45587	4841
1356	45614	4806
1357	45642	4772
1358	45674	4738
1359	45705	4705
1360	45738	4671
1361	45772	4637
1362	45806	4604
1363	45838	4570
1364	45875	4537
1365	45907	4503
1366	45943	4470
1367	45976	4436
1368	46011	4402
1369	46038	4368
1370	46069	4334
1371	46104	4301
1372	46128	4266
1373	46163	4233
1374	46199	4199
1375	46227	4165
1376	46265	4132
1377	46294	4098
1378	46335	4065
1379	46370	4032
1380	46399	3998
1381	46422	3963
1382	46456	3930
1383	46484	3896
1384	46514	3862
1385	46547	3828
1386	46574	3794
1387	46604	3760
1388	46632	3726
1389	46664	3692
1390	46692	3658
1391	46722	3625
1392	46754	3591
1393	46785	3557
1394	46816	3523
1395	46863	3491
1396	46931	3460
1397	46964	3426
1398	47013	3394
1399	47048	3360
1400	47079	3326
1401	47112	3293
1402	47146	3259
1403	47178	3225
1404	47206	3191
1405	47235	3158
1406	47264	3124
1407	47292	3090
1408	47323	3056
1409	47390	3024
1410	47425	2991
1411	47456	2957
1412	47493	2924
1413	47521	2890
1414	47544	2856
1415	47578	2822
1416	47602	2788
1417	47627	2754
1418	47650	2719
1419	47678	2686
1420	47709	2652
